"","time1","time2","time3","time4"
"time",1e-04,2000,3000,5000
"mu_Phi_Kin_ss",6.24999647332203e-06,6.9048601612713,6.90489861933216,6.90489887657726
"mu_kgut",-4.37499863618562e-06,-8.42131060468159,-8.42168658199915,-8.42168965303196
"mu_KMuscleBase",3.47881723428146e-13,-6.03104451180079e-08,-1.94271769455414e-07,-3.20734990186811e-07
"mu_Kecf_base",-1.93341342935583e-13,5.63237979720021e-07,-1.30893411901312e-07,1.43556652157706e-07
"mu_Km",2.86802581683787e-13,8.48317308831171e-07,-1.59027368953347e-07,-4.87025004077601e-07
"mu_Vmax",4.96139129779749e-13,-4.8378434056806e-07,-1.61878965780016e-07,2.24140305200127e-07
"mu_V_plasma",-1.69576352959668e-13,-4.97571158887042e-07,-1.12563103122465e-07,-9.2674008890904e-08
"mu_V_inter",-4.90247842321838e-14,5.54460213334272e-07,4.7256098317261e-07,-3.23530619095173e-09
"mu_V_muscle",-4.79616346638066e-17,1.85417633666861e-07,6.55070324032892e-07,3.37233432287308e-07
"mu_m_K_ALDO",-5.51830581230206e-13,-1.74400336524272e-07,7.0405064362511e-08,1.12234112359833e-07
"mu_ALD_eq",2.47082354576378e-14,2.2519562590694e-08,-1.58954071485251e-07,1.56750071638622e-07
"mu_P_ECF",-3.90983245779353e-13,-5.31923244071474e-07,-9.06397472837381e-08,-7.01719154263538e-08
"mu_FF",2.62230237524363e-13,-1.06339666140709e-07,-5.56984370905233e-08,1.2224442362374e-08
"mu_GFR",2.86922485770446e-13,4.68153744206833e-07,-1.92244679703358e-07,1.53357040426629e-08
"mu_dtKsec_eq",4.60599558493868e-13,-2.80785358971695e-07,-5.65227010955755e-08,1.08345592018111e-07
"mu_A_dtKsec",0,-3.70587209695294e-07,-3.1635971701105e-07,3.38217198519786e-07
"mu_B_dtKsec",-7.27657933907723e-14,7.61051596942501e-08,2.95123897931848e-07,2.61685010173096e-07
"mu_cdKsec_eq",3.65939278879067e-13,-1.54882111132348e-07,-3.70528251041345e-08,6.44668146945198e-08
"mu_A_cdKsec",0,-3.8223647902047e-07,-3.09065398373942e-07,1.34976696699596e-07
"mu_B_cdKsec",-5.87689896747179e-14,-6.34664352884063e-07,3.83306342929934e-07,2.9376621977395e-07
"mu_A_cdKreab",2.67498023731606e-13,-6.73638523299048e-07,1.26848264092599e-08,1.55398629204662e-07
"mu_A_insulin",-5.87130344342768e-14,-2.66631230094738e-08,-2.78327806881861e-08,1.50444836988244e-09
"mu_B_insulin",-5.59552404411079e-17,8.35530848228852e-08,1.32197700786249e-10,-1.36687772340771e-08
"mu.star_Phi_Kin_ss",6.24999647332203e-06,6.9048601612713,6.90489861933216,6.90489887657726
"mu.star_kgut",4.37499863618562e-06,8.42131060468159,8.42168658199915,8.42168965303196
"mu.star_KMuscleBase",1.5027659117095e-12,9.42705351733597e-06,5.13015511193693e-06,2.63852718947577e-06
"mu.star_Kecf_base",1.9569146303411e-13,8.70213613422255e-06,4.93024348812998e-06,2.61259728849339e-06
"mu.star_Km",2.88161494665929e-13,8.28142933840592e-06,4.4310089043611e-06,2.75266248383144e-06
"mu.star_Vmax",6.15563600092628e-13,8.98983387575258e-06,4.93204241722766e-06,2.36902727381993e-06
"mu.star_V_plasma",4.0639491771799e-13,9.30675981892959e-06,4.54955404121593e-06,2.98290500747012e-06
"mu.star_V_inter",1.26079147122482e-12,8.47967677355399e-06,4.81676636936834e-06,2.83445874338906e-06
"mu.star_V_muscle",2.60591548340017e-15,9.40313025798245e-06,5.03199911862762e-06,2.21841471675388e-06
"mu.star_m_K_ALDO",7.2087935620857e-13,9.3256438524385e-06,4.77808702093618e-06,2.39815955880429e-06
