"","time1","time2","time3","time4"
"time",1e-04,2000,3000,5000
"mu_Phi_Kin_ss",5.78785601557996e-07,1.70064425610086,2.148215820503,3.0049656958126
"mu_kgut",4.05255777783609e-06,0.0604003831114084,0.0589317069410712,0.0561684327486202
"mu_KMuscleBase",-2.40855850464072e-09,-3.63619047939804,-3.57772795173113,-3.46391775574271
"mu_Kecf_base",5.29360731505335e-07,6.3749303100849,6.35489673363518,6.31234038256065
"mu_Km",4.89585971763519e-12,-0.00873250045524144,-0.0267208332667285,-0.0588244106160975
"mu_Vmax",-3.08779561919437e-11,-0.00215742721681741,-0.00207179579973476,-0.00190769061448437
"mu_V_plasma",2.59876419842477e-05,3.89385112006049,3.92158203384409,3.97468971102808
"mu_V_inter",-2.52259193284168e-05,-0.0562381456219657,-0.0553183558765832,-0.0535173227852239
"mu_V_muscle",-3.13940547158609e-09,-4.71673632668648,-4.64122784220291,-4.49412630975427
"mu_m_K_ALDO",-8.11913736242782e-10,-0.351784008817389,-0.449689235655974,-0.644856930705339
"mu_ALD_eq",-3.59816678628277e-07,-3.17934263262849,-3.18787893179029,-3.20195457110588
"mu_P_ECF",-3.55114756480646e-07,-0.279806225408055,-0.273409819024092,-0.261493101419985
"mu_FF",-9.7571450631051e-08,-0.000599848799071708,-0.000593249619980478,-0.000579996218978643
"mu_GFR",-5.08676600073698e-07,-0.146148587832484,-0.184476130949131,-0.258565148785572
"mu_dtKsec_eq",-4.50601576339693e-07,-0.120728986006204,-0.151967736826288,-0.212207748097672
"mu_A_dtKsec",-2.23835340278811e-06,-0.600371624362148,-0.755455993538166,-1.05409883490848
"mu_B_dtKsec",-2.38023838290502e-06,-0.642468779160829,-0.809675518428845,-1.13322874720136
"mu_cdKsec_eq",-5.11272298737708e-08,-0.0143732233361996,-0.0181122547686572,-0.0253413316595295
"mu_A_cdKsec",-2.5310826644187e-07,-0.0711442083513826,-0.0896521122240033,-0.12543964100831
"mu_B_cdKsec",-4.64959087103978e-07,-0.130644411843718,-0.164822490839148,-0.231212640691239
"mu_A_cdKreab",8.38379377153587e-07,0.232958094963588,0.293464621875047,0.410267674295595
"mu_A_insulin",-8.04429483025615e-11,-0.114728889521778,-0.113024973987188,-0.109678144059174
"mu_B_insulin",-2.95277338580035e-10,-0.432470038148054,-0.42563128595477,-0.412282318952295
"mu.star_Phi_Kin_ss",5.78785601557996e-07,1.70064425610086,2.148215820503,3.0049656958126
"mu.star_kgut",4.05559094988561e-06,0.0604152987996507,0.05894644476396,0.0561830403940409
"mu.star_KMuscleBase",2.4199997845642e-09,3.63619047939804,3.57772795173113,3.46391775574271
"mu.star_Kecf_base",5.29360731505335e-07,6.3749303100849,6.35489673363518,6.31234038256065
"mu.star_Km",1.38975998709157e-10,0.203843866609093,0.199283818235009,0.197177569102701
"mu.star_Vmax",8.05445438345486e-10,0.00261834410714047,0.00251845162957228,0.00232809268700302
"mu.star_V_plasma",2.59876419842477e-05,3.89385112006049,3.92158203384409,3.97468971102808
"mu.star_V_inter",2.52259193284168e-05,0.0562910230604467,0.0553755367703285,0.0535846200002432
"mu.star_V_muscle",3.13940547158609e-09,4.71673632668648,4.64122784220291,4.49412630975427
"mu.star_m_K_ALDO",1.46174280743594e-07,1.1676783488383,1.19317603954184,1.27368924517598
"mu.star_ALD_eq",3.59816678628277e-07,3.17934263262849,3.18787893179029,3.20195457110588
"mu.star_P_ECF",8.60754817764331e-06,0.337047565426187,0.329188930101295,0.314411364224612
"mu.star_FF",9.7571450631051e-08,0.000599930896575415,0.000593748642828834,0.000581482653917011
"mu.star_GFR",5.08676600073698e-07,0.146148587832484,0.184476130949131,0.258565148785572
"mu.star_dtKsec_eq",4.50601576339693e-07,0.120728986006204,0.151967736826288,0.212207748097672
"mu.star_A_dtKsec",2.23835340278811e-06,0.600371624362148,0.755455993538166,1.05409883490848
"mu.star_B_dtKsec",2.38023838290502e-06,0.642468779160829,0.809675518428845,1.13322874720136
"mu.star_cdKsec_eq",5.11272298737708e-08,0.0143732233361996,0.0181122547686572,0.0253413316595295
"mu.star_A_cdKsec",2.5310826644187e-07,0.0711442083513826,0.0896521122240033,0.12543964100831
"mu.star_B_cdKsec",4.64959087103978e-07,0.130644411843718,0.164822490839148,0.231212640691239
"mu.star_A_cdKreab",8.38379377153587e-07,0.232958094963588,0.293464621875047,0.410267674295595
"mu.star_A_insulin",8.04429483025615e-11,0.114728889521778,0.113024973987188,0.109678144059174
"mu.star_B_insulin",2.95277338580035e-10,0.432470038148054,0.42563128595477,0.412282318952295
"sigma_Phi_Kin_ss",1.18401561487238e-06,0.351281922358388,0.431094497066549,0.618824668039363
"sigma_kgut",6.93270583884993e-07,0.050907040262344,0.0495224315365028,0.0469777770307094
"sigma_KMuscleBase",9.65823658834786e-10,0.852294209764698,0.841155714524949,0.819419346245487
"sigma_Kecf_base",3.58993981436285e-07,0.534295742273943,0.524586212337443,0.513225405914107
"sigma_Km",1.84064316987158e-10,0.275904281475247,0.269574374486765,0.262745508089418
"sigma_Vmax",1.07856255021359e-09,0.00266178519879122,0.00256056633537619,0.00236626731606583
"sigma_V_plasma",8.06829890026365e-06,0.562300335742544,0.565593721273111,0.576246015809222
"sigma_V_inter",8.02988787812887e-06,0.0236008392768984,0.0233487971510651,0.0228611329970668
"sigma_V_muscle",1.14200699744034e-09,1.11074275136943,1.096140508956,1.06760892934156
"sigma_m_K_ALDO",1.99034046498088e-07,1.58151092869669,1.61014468292078,1.69230566280175
"sigma_ALD_eq",2.1166916145754e-07,0.92800351944054,0.926841239400795,0.926536205593118
"sigma_P_ECF",1.06828826644544e-05,0.40794081473577,0.398515693753733,0.380922740257192
"sigma_FF",2.49649617558221e-07,0.00152738480773769,0.00151191117941642,0.00147806281085127
"sigma_GFR",4.2623021494262e-08,0.0387421970069161,0.0488504473087367,0.0702389897186584
"sigma_dtKsec_eq",2.06145546635011e-07,0.0597360975804489,0.0751301641549272,0.106029458405001
"sigma_A_dtKsec",7.72051487980895e-07,0.231146485402084,0.289399301318505,0.408248789471142
"sigma_B_dtKsec",1.14537513397575e-06,0.321864750010624,0.404405623550469,0.569717733558335
"sigma_cdKsec_eq",3.41418971559373e-08,0.0099765298683534,0.0125561441662659,0.0176633388281498
"sigma_A_cdKsec",1.45741746419619e-07,0.0428461016137838,0.0537294812562748,0.0754011763718724
"sigma_B_cdKsec",3.21109304052353e-07,0.0909292809294354,0.114336268987301,0.160805046032012
"sigma_A_cdKreab",2.11857316027588e-07,0.0762321870614608,0.0956156889065303,0.135832757172211
"sigma_A_insulin",3.45765992632539e-10,0.471891487246091,0.465147609558782,0.451843191350186
"sigma_B_insulin",1.12107285460513e-09,1.60806368704378,1.58295743864101,1.53388168460178
